"city","data_source","Var_p","Var_W"
"Douala","mswep-v2-8",98028.1168733615,101412.463747992
"Douala","terraclimate",527620.740516068,511414.551554757
"Dubai","era5-land",3386.82598541226,2879.83367801269
"Dubai","gleam-v4-1a",NA,2342.66649767442
"Dubai","mswep-v2-8",4877.11766088795,4414.9717904334
"Dubai","terraclimate",2590.27266316068,8.90048895348838
"Dublin","era5-land",8441.27431812896,7503.62141368922
"Dublin","gleam-v4-1a",NA,8726.98041775899
"Dublin","mswep-v2-8",11159.7000415962,11456.109753277
"Dublin","terraclimate",8846.54220692389,6804.28096041226
"Durban","era5-land",44375.3549570825,24049.0322948732
"Durban","gleam-v4-1a",NA,23534.4129236258
"Durban","mswep-v2-8",33264.912917759,28649.2908771142
"Durban","terraclimate",29613.9274782241,7927.08208604651
"Dushanbe","era5-land",31666.159490222,35250.4414014799
"Dushanbe","gleam-v4-1a",NA,10717.1197464588
"Dushanbe","mswep-v2-8",8928.41591897463,9231.07562764271
"Dushanbe","terraclimate",11585.273280074,6776.45115623679
"Ekurhuleni","era5-land",19976.4941268499,11434.042772093
"Ekurhuleni","gleam-v4-1a",NA,12467.4127818182
"Ekurhuleni","mswep-v2-8",16915.3271971987,9903.13457484144
"Ekurhuleni","terraclimate",17636.1346322939,1205.07311432347
"Faisalabad","era5-land",22841.5340517442,34453.0246004228
"Faisalabad","gleam-v4-1a",NA,7045.88288520085
"Faisalabad","mswep-v2-8",11436.8580128964,3357.36960650106
"Faisalabad","terraclimate",5078.77221199789,27.3692229915434
"Fortaleza","era5-land",127386.285759408,88903.4107608879
"Fortaleza","gleam-v4-1a",NA,194904.572727061
"Fortaleza","mswep-v2-8",204712.138670772,198245.031987526
"Fortaleza","terraclimate",199128.918405655,128085.419061469
"Foshan","era5-land",94973.4763823996,103114.451421353
"Foshan","gleam-v4-1a",NA,65035.2335646406
"Foshan","mswep-v2-8",72521.2678563954,69947.4898408034
"Foshan","terraclimate",65972.0837860465,61418.7971777484
"Freetown","era5-land",161991.745523626,154021.230445877
"Freetown","gleam-v4-1a",NA,106623.270354493
"Freetown","mswep-v2-8",52176.9662766913,56234.7171663848
"Freetown","terraclimate",100941.117794503,104395.30485851
"Fukuoka","era5-land",93098.3315625793,90829.2548604651
"Fukuoka","gleam-v4-1a",NA,122299.245895719
"Fukuoka","mswep-v2-8",122917.593078013,145523.633135888
"Fukuoka","terraclimate",104644.813382875,108901.487304598
"Fuzhou","era5-land",60728.3231917019,53744.6953632135
"Fuzhou","gleam-v4-1a",NA,53771.4898479915
"Fuzhou","mswep-v2-8",52587.3946855708,60675.6905997357
"Fuzhou","terraclimate",48998.8248221987,43052.0890255285
"Guadalajara","era5-land",18140.0914315011,11778.0223904863
"Guadalajara","gleam-v4-1a",NA,13416.2726678118
"Guadalajara","mswep-v2-8",12319.5390412262,13395.1332826638
"Guadalajara","terraclimate",13028.6777980444,7325.23820866808
"Guangzhou","era5-land",120885.654938689,130270.607395349
"Guangzhou","gleam-v4-1a",NA,63485.9738208774
"Guangzhou","mswep-v2-8",78195.7565887949,73667.0476945032
"Guangzhou","terraclimate",64924.5201680232,60749.7269788583
"Guatemala City","era5-land",50359.1956934461,36429.8772276427
"Guatemala City","gleam-v4-1a",NA,49689.6907479915
"Guatemala City","mswep-v2-8",51143.733555814,56507.6463143235
"Guatemala City","terraclimate",43153.9744864165,45921.5875642706
"Guayaquil","era5-land",1138830.24148985,1147606.08857648
"Guayaquil","gleam-v4-1a",NA,76304.595520296
"Guayaquil","mswep-v2-8",395424.912681395,349567.555844133
"Guayaquil","terraclimate",104611.80691686,77952.6426301797
"Guiyang","era5-land",36064.1885190275,42634.385964482
"Guiyang","gleam-v4-1a",NA,22585.2288796512
"Guiyang","mswep-v2-8",22132.5988758985,31726.5389747886
"Guiyang","terraclimate",16683.15632537,15755.5221439746
"Handan","era5-land",21039.3309761099,19477.7353556025
"Handan","gleam-v4-1a",NA,11672.1515777484
"Handan","mswep-v2-8",24844.625520296,23144.8586576638
"Handan","terraclimate",12909.8970021142,3294.94519635307
"Hangzhou","era5-land",68140.422611575,76912.2429092495
"Hangzhou","gleam-v4-1a",NA,37238.3875651163
"Hangzhou","mswep-v2-8",38659.6091365751,55434.8656991543
"Hangzhou","terraclimate",25148.36494926,19027.0034942918
"Hanoi","era5-land",55504.3481826639,64328.4904479916
"Hanoi","gleam-v4-1a",NA,54684.1082295983
"Hanoi","mswep-v2-8",44163.0055479916,50092.8343306554
"Hanoi","terraclimate",47890.7820756871,47010.0875418076
"Harare","era5-land",25692.9479172833,15581.3080691332
"Harare","gleam-v4-1a",NA,26353.6440655391
"Harare","mswep-v2-8",29622.383389852,21501.2289951374
"Harare","terraclimate",33064.3903621564,13866.788095296
"Harbin","era5-land",18111.8661389006,17551.545634408
"Harbin","gleam-v4-1a",NA,5926.6872410148
"Harbin","mswep-v2-8",15483.2743389006,12034.4430672304
"Harbin","terraclimate",7430.93396173362,2499.89043948203
"Havana","era5-land",23034.3868576638,44686.8187422305
"Havana","gleam-v4-1a",NA,40773.3809084567
"Havana","mswep-v2-8",21675.6394149577,15078.1459540698
"Havana","terraclimate",50315.9717295983,32760.113330814
"Hefei","era5-land",56516.3923947146,63438.1120183404
"Hefei","gleam-v4-1a",NA,51307.0684608879
"Hefei","mswep-v2-8",51112.2830458774,62685.076728277
"Hefei","terraclimate",41479.8878204545,24280.07610037
"Helsinki","era5-land",9185.9158012685,7836.63228134249
"Helsinki","gleam-v4-1a",NA,6169.51295623678
"Helsinki","mswep-v2-8",9265.32010882664,8843.86520100423
"Helsinki","terraclimate",6611.95953403805,4933.86800042283
"Ho Chi Minh City","era5-land",36343.8337105708,35728.3729392706
"Ho Chi Minh City","gleam-v4-1a",NA,127798.141627273
"Ho Chi Minh City","mswep-v2-8",31425.3716488372,39401.2886082452
"Ho Chi Minh City","terraclimate",123045.534034038,128834.454133827
"Hong Kong","era5-land",70395.9699904334,68081.1612245243
"Hong Kong","gleam-v4-1a",NA,111892.708925581
